day,pressure,maxtemp,temparature,mintemp,dewpoint,humidity,cloud,sunshine,winddirection,windspeed,rainfall
29,1019.9,22.9,20.9,19.2,17.3,86,79,0.6,50,21.4,1
30,1018.1,23.1,20.8,19.2,15.5,74,49,7.7,40,14.3,0
31,1018.5,21.3,20.3,19.3,15.3,75,69,7.7,70,35.1,1
32,1019.5,23.2,22.1,20.1,18.8,82,69,1.1,40,20.5,0
33,1020.4,21.3,18.8,17.3,13.6,52,56,2.9,40,21.3,0
34,1024.4,21.6,19.3,17.4,15.3,90,95,4.3,70,35.3,1
35,1017,21.5,20.6,18.6,17,91,88,0,50,14.3,1
36,1023.1,18.2,17.1,16.3,9.5,78,89,0,50,28.4,0
37,1014.4,22.9,21.4,20,17.8,79,88,0,40,18.4,1
38,1021.8,21.1,18.2,17.8,16.9,74,44,9.5,20,26.7,0
39,1023.1,20.4,17.8,14.8,15,75,43,9.2,60,11.9,0
40,1018.9,21.9,19.3,17.2,16.9,79,90,0,50,28.8,1
41,1017.1,23.4,21.7,19.6,19,88,83,2.3,40,29.6,1
42,1015.8,21.2,19.4,17.3,17,75,46,4.1,20,19,0
43,1013.1,21.4,20.9,19.4,17.8,83,88,0,30,20.8,1
44,1015.2,18.9,17.7,16.9,16.8,90,90,0,60,34.2,1
45,1017.4,16.1,15.5,13.6,11.4,72,43,8.8,40,27.3,1
46,1016.9,17.5,15.5,14.8,14.6,91,91,0,20,33.4,1
47,1018.1,20.6,16.1,14.2,12.2,79,89,1,20,10.7,1
48,1016.5,21.6,19.2,17.5,19,95,92,0.3,40,6.9,1
49,1016.8,21.3,19.5,17.6,17.6,75,70,2.2,50,16.5,0
50,1023.6,18.8,16,14.8,12.4,72,40,9.5,20,9.8,1
51,1024.4,17.2,15.6,12.8,8.6,79,49,9.1,20,35.3,0
52,1016.3,22.3,19.2,18.2,18.5,96,88,0.3,70,9.9,1
53,1019.6,18.4,17.1,16,16.3,93,93,0,70,19,1
54,1018.8,22.5,20.1,19.1,16.4,76,71,6.1,40,20.5,0
55,1016.5,20.6,18.1,17,16.3,76,88,0,60,39.5,1
56,1016.8,21.3,19.7,18.2,18.9,95,91,0,40,10.2,1
57,1012,20.9,20.9,19.1,14.9,86,80,1.6,60,13.8,0
58,1020.4,25.9,21.6,19.8,17,79,70,7.8,40,24.4,1
59,1014.4,25.3,21.9,19.1,19.6,86,82,1.6,40,27.3,1
60,1013.3,22.4,20.5,20.3,17.8,91,80,0,40,25,1
61,1018.1,21.3,20.3,19.9,18.9,92,88,0,40,28.4,1
62,1020.4,18.2,15.9,13.5,9.9,84,83,2.3,70,17.2,1
63,1017.7,20.6,18.1,16.9,17.4,95,91,0,40,16.1,1
64,1017.9,21.3,19.5,18.4,15.5,76,72,7.2,70,25.1,0
65,1019.4,21.6,19.6,17,17.9,69,54,1,50,29.6,0
66,1022.7,14.3,12.8,10,8,63,95,0.1,20,24.5,1
67,1020.3,18.4,15.7,14.6,12.6,59,88,0,40,27.4,1
68,1014.2,18.4,18,17.2,17.4,97,95,0,40,22.9,1
69,1015,17.8,16,16.9,16.6,90,51,9.5,60,24.9,0
70,1014.6,25.1,20,19,19.5,72,47,10.8,30,28.8,0
71,1021.4,20.9,18.4,16.9,8.9,75,43,11,20,7.4,0
72,1015.6,25.2,21.8,19.1,19.9,83,80,3.4,70,16.5,0
73,1018.5,23,21.1,20.6,19.6,89,88,1.4,20,8.9,1
74,1017.1,26.3,23.3,19.2,18.8,84,61,7.6,70,24.8,1
75,1012,23.1,21.6,20.4,19.9,90,87,0.5,40,26,1
76,1012.5,26.1,23.2,21.5,20.1,87,88,3.7,40,28,1
77,1014,25.2,23.3,22.3,21.1,89,88,0.3,70,20,1
78,1014,24.9,23.1,22.4,22.8,85,88,3.2,70,31.2,1
79,1013.5,26.9,25.3,24.2,21.9,87,85,0.3,50,26.1,1
80,1011.4,27.6,20.9,19,13.7,77,91,0.2,40,15.4,1
81,1016.8,26.5,24.8,23.3,22.1,83,81,1.2,80,24.4,1
82,1019.8,27.6,25.4,24,22.3,89,84,1.6,20,18.6,1
83,1011,26.3,24.9,23,22,81,88,0.2,40,24.4,1
84,1010.7,24.2,23,21.4,17,86,80,1.1,70,9.8,1
85,1008.1,28.1,25.1,23.8,22.8,86,83,4.4,90,17.2,1
86,1013,27.2,24.8,23.4,22.3,90,85,5.9,70,17.2,1
87,1013,27.8,25.8,23.7,20.6,74,88,0.4,40,16,1
88,1012.2,27.1,25.9,24.2,22.6,86,84,1.6,70,17.5,1
89,1016.8,25.1,23.1,22.9,22,87,82,2.1,70,32.5,1
90,1010.1,27.2,24.8,23.3,21.6,91,88,0.3,50,19.6,1
91,1014.6,28.2,24.5,22.3,22,87,81,4.8,40,8.9,1
92,1013.1,28.2,24.1,22,22.9,89,81,1.2,70,31.8,1
93,1016,26.3,23.9,22.2,20.4,90,88,0.7,30,28.5,1
94,1015,26.2,24.9,22.2,19.8,92,85,0.2,80,28,1
95,1011.4,26.8,24.4,23.6,22.6,91,80,1,220,34.2,1
96,1009.2,28.2,26.7,25.3,23.1,87,86,0.3,100,12,0
97,1008.6,29.1,26.6,25.4,24.2,93,85,0.9,220,19,1
98,1011.4,28.2,24.8,22.3,23.7,84,85,2.4,90,14.7,1
99,1015.2,25.9,23.4,22.8,21.2,81,81,3.9,290,21.2,1
100,1017.1,26.9,25.8,25.4,19.7,78,85,0.3,70,18.2,1
101,1013,28.6,26.7,24.3,23.2,87,83,2.2,70,24,1
102,1016.8,29.6,25.8,23.3,22.1,86,83,3.5,30,9.8,1
103,1013.4,30.2,26.8,24.8,23.4,85,78,2.1,70,24.9,1
104,1015.8,29.6,26.5,23.7,23.2,86,83,3.9,170,24.4,0
105,1008.3,28.9,26.9,24.3,24.8,87,82,1.6,200,23.7,1
106,1008.9,28,27.8,25.2,25.2,89,88,0.4,70,34.2,1
107,1010.3,30.2,26.9,24.2,22.7,84,84,2.2,230,15.1,1
108,1008.9,31.2,28,24.7,25,81,88,0.6,240,28.4,1
109,1011.4,27.6,25.5,24.4,24.8,79,80,4.5,60,12.4,1
110,1010.1,30.6,28.1,26.8,25.1,89,89,2,130,21.4,1
111,1010.9,30.6,28.7,26.3,25.3,86,84,2.3,270,18.8,1
112,1009.8,28.7,25.4,23.9,22.1,87,84,2.9,40,14.5,1
113,1011.4,26.2,24,22.4,23.4,82,83,2.1,70,11.9,1
114,1009.8,28.7,26.7,25.3,24.3,84,87,0.6,90,15.7,1
115,1008.3,31,28.6,26.9,24.9,81,83,3,220,9.2,1
116,1008.8,29.7,25.8,24.2,22.6,89,88,1.3,20,28.8,1
117,1012.2,25.8,23.7,22.4,22.3,89,81,1.2,80,39.5,1
118,1011.1,28.2,25.5,23.3,19.3,82,81,4.3,40,31.8,0
119,1013.5,27.3,25.5,23.3,20.6,73,64,6.3,120,29.6,0
120,1007.9,31.2,28.1,26.4,24.3,85,90,3.9,130,23.3,1
121,1006.8,31,28.1,26.8,25,84,84,2.6,220,14.5,1
122,1005.9,29.2,27.4,25.5,24,89,88,1.2,130,15.8,1
123,1009.5,30.9,27.1,26.3,24,89,88,1.4,230,15.1,1
124,1010.9,29.8,26.5,24.3,23.3,83,85,3.5,190,14.2,1
125,1012,26.4,24.9,23.2,21.7,84,82,0.3,70,14,1
126,1012.5,27.9,25.8,24.4,23.1,82,88,1.6,80,39.3,1
127,1008.8,31,28.1,26.2,25,81,80,3.7,80,20.5,1
128,1011.4,30.7,27.9,26.4,25.6,89,89,1.2,200,22.5,1
129,1009.5,30.1,28.9,26.3,24.3,84,70,3.3,230,15.3,1
130,1011.2,31.6,28.7,26.3,25.4,81,88,0.1,200,26.1,1
131,1008.7,31.4,28.2,26.1,25.1,82,75,9.1,120,21.8,0
132,1012.4,31.3,28.8,26.1,22.7,81,87,2.1,20,19.2,1
133,1008.3,33,30.1,28,25.1,75,68,10,230,19.3,1
134,1005.9,31,28.8,27.3,20.7,77,59,7.5,70,9.8,0
135,1009.3,32.3,30.2,27.4,25.9,86,88,0.6,220,13.4,1
136,1006.6,32,29.4,27.6,26,89,88,2.5,200,26.4,1
137,1008.5,32.2,29,27,25.3,79,79,7,220,16.4,1
138,1006.6,32.3,29.6,28.7,25.7,84,77,6.3,220,15.4,1
139,1008.4,32.6,29.7,26.4,25.7,81,69,7.8,220,34,1
140,1008,32.8,29.9,26.7,26.7,89,74,6.1,230,15.8,1
141,1007.6,32.7,29,27,26,76,46,10,220,9.4,0
142,1009.1,32.8,30,26.4,25.2,74,28,11.1,220,19,0
143,1008.5,30.4,27.4,25.3,24.2,74,57,9.1,220,11.9,0
144,1005.2,31.5,28.3,26.9,25.8,87,83,6.9,60,14.1,1
145,1008.7,33,30.2,28.4,25.7,78,53,10,220,10.9,0
146,1008.7,32.1,29.8,27.5,25.5,81,83,3,130,52.8,1
147,1005.6,32.8,29,27,25,74,38,11.9,200,8.3,0
148,1008.5,33.3,30.1,28,24.3,79,69,10.7,220,7.9,0
149,1010.3,31.2,28.1,25.8,23.1,79,49,9.8,20,14.5,0
150,1006.4,34,30.1,28.4,25.8,77,23,10.4,240,15.7,0
151,1009.8,34.4,30.1,28.8,24.7,74,29,11.4,200,12.6,1
152,1008.9,34,30.6,26.7,25.9,81,79,4.8,220,25,1
153,1006.6,33.2,30.8,28,25.3,77,29,11,230,14.5,0
154,1009.4,32,29,27,24.5,76,44,10.7,220,40.8,0
155,1006.8,31.9,29.3,26.2,24.2,81,77,6.7,210,7.9,1
156,1008.7,32.9,29.1,27.1,25.3,78,78,9.1,240,19,1
157,1005.9,34.7,30.1,28.5,25.4,79,88,0.4,50,15.3,1
158,1008.1,31.7,28.9,26.2,25.8,81,78,4.6,230,21.9,1
159,1009.5,30.8,28.9,27.4,25.1,86,67,5.7,110,11.1,1
160,1008.4,32.6,30.7,28.4,25.4,86,78,2.3,230,14.1,1
161,1008.1,31.7,29.5,27.5,25.5,84,63,8.9,130,14,0
162,1007.5,32,30.1,29,25.6,84,88,1.5,220,29.2,1
163,1006.6,31,29.3,27.1,25.3,79,77,4.6,220,13.9,1
164,1006.9,32.2,29,27.6,25.3,82,78,6.6,220,14.5,1
165,1009.9,32.6,29.7,27.4,26.1,79,73,9.4,210,31.9,1
166,1007.9,33,30.1,27.8,25.8,78,67,10.6,220,14.5,1
167,1008.4,31.2,29,27.2,25.3,90,77,2.7,130,9.1,1
168,1007.2,33.2,29.6,26.9,25,85,88,2.4,240,25.1,1
169,1002.5,33.5,30,27.8,26,89,88,2,220,10.9,1
170,1006.3,29.1,27.9,26.6,25.8,89,88,0.5,230,20.9,1
171,1003.8,33.1,30.1,27.1,26.1,80,83,0.5,220,27.9,1
172,1002.8,33.7,30,26.1,24.7,89,78,2.1,220,9.2,1
173,1009.9,35.2,30,28.5,24.7,78,44,10.1,240,12.4,1
174,1006.8,31.6,29.2,27.3,25.3,86,86,1,80,31.2,1
175,1009.3,31.2,28.1,26.2,25.3,78,47,9.1,200,17.2,0
176,1007.5,32.8,30.1,28,25.6,79,72,7.1,220,30.3,0
177,1008.6,32.9,29.7,27.4,25.8,91,87,0.2,230,26.3,1
178,1008.4,32,29.4,27.5,26.2,82,84,6.4,230,16.9,1
179,1007.9,30.6,28.4,26.7,25.8,82,84,1.3,200,14.5,1
180,1006.8,31.2,29,26.1,25.4,80,88,1.2,190,26.4,1
181,1008.4,29,28.2,26.8,25,84,88,0.5,190,19.8,1
182,1010.6,31.1,28.9,26.7,25.6,84,84,4.4,190,16.5,1
183,1008.8,30.3,28.4,26.8,25.4,79,88,0.3,230,14.5,1
184,1006.7,31.2,28.4,26.8,25.2,79,78,4.4,220,16.3,1
185,1003.8,30.8,27.9,26.5,24.8,81,84,2,220,11.9,1
186,1008.5,32,30.7,28.4,25.8,77,72,7.7,220,10,1
187,1008.1,31.7,28.9,26.9,25.3,86,82,2.2,220,20,1
188,1008.9,31.2,28.2,26.8,26,87,83,3,220,14.3,1
189,1008.1,33,30,28.4,25.3,84,69,0.4,220,14.3,0
190,1008.4,33,30,28.1,25.5,81,51,6.9,220,18,1
191,1008.9,32.4,30.7,28,25,79,67,7,220,10.9,1
192,1006.9,33.3,30.3,26.7,26.4,79,88,3,200,20.5,1
193,1006.8,33,30.4,28,25.5,76,38,10.9,220,15.8,0
194,1008.1,33.9,30,28,26.4,84,61,9.1,160,8.6,1
195,1009.8,32.5,30.7,28.3,25.5,75,40,11.2,270,6.6,0
196,1005.9,34.1,30.2,28.1,25.5,78,41,8.3,10,13.6,0
197,1005.4,33.3,30,26.3,24.3,81,47,8.2,220,12.8,1
198,1006.5,32.7,30.3,28.3,24.1,74,61,10,200,23.5,0
199,1006.7,33.5,30.5,28.7,26.4,79,78,5.5,230,9.1,0
200,1001,32.9,30.2,28.2,25.8,78,38,11.1,230,16.3,1
201,1007.9,32,30.6,28.4,25.9,81,78,9.1,230,25.5,1
202,1011.4,31.2,28.3,26.3,25.3,80,43,9.5,220,9.8,0
203,1008.4,31.8,28.8,26.7,24.5,81,78,2.2,200,11.2,1
204,1008.1,32.4,29,26.5,26.3,84,83,6.7,190,15.3,1
205,1008.9,30.6,28.4,26.6,25,81,88,0.3,220,11.3,1
206,1008.9,29.4,27.2,26.6,25.6,89,83,0.3,180,10,1
207,1004.8,31.1,28.7,26.7,25.4,78,79,3.8,210,13.8,1
208,1004.2,31.2,28,26.5,25.9,89,84,0.3,220,17.3,1
209,1008.9,32.9,29.6,26.4,26.6,83,82,3.5,280,9.2,1
210,1008.1,30.6,28.6,26.3,25.3,82,87,2,200,20.5,1
211,1008.1,32.9,29.9,28.6,26.3,81,78,5,250,21.9,1
212,1006.5,30.6,27.4,24.9,25,84,88,2.1,190,21.9,1
213,1010.5,30.6,28.3,26.6,25.9,85,82,2.9,300,21.9,1
214,1008.4,32.7,30.4,28.1,25.2,74,43,10,300,13.8,0
215,1007.9,31.2,28.1,26.9,25.8,82,84,2.2,220,24.5,1
216,1008.3,33,30,27.4,24.2,75,43,9.3,220,23.2,0
217,1007.5,30.8,27.2,25.5,23.2,75,78,3.5,90,13.9,1
218,1005.6,31.6,28.3,26.4,25.4,81,84,2.5,220,23.7,1
219,1008.5,31.5,28.1,25.7,25.5,74,75,7.6,230,10.9,1
220,1007.8,30.1,28.1,26.1,25.1,84,83,2.5,230,20.3,0
221,1007.8,32.9,29.6,26.5,25.8,89,88,1.1,220,13.2,1
222,1005.9,28.6,26.8,25.4,25.4,90,88,0.5,230,19.2,1
223,1008.5,29.1,28.3,27.4,24.3,85,88,0.2,230,15.3,1
224,1005.9,31.8,28.8,26.7,25,79,67,6.7,240,7.3,1
225,1010.7,29.6,26.9,24.5,24.1,87,84,6,220,9.1,1
226,1012,29.6,27.1,25.8,23.8,76,50,8.8,60,14.3,0
227,1012,29.4,27.7,25.4,25.9,81,86,2.4,40,13.8,1
228,1011.6,33.7,29.1,26.9,23.2,85,84,5.8,230,11,1
229,1008.5,30.6,27.8,25.7,25.4,91,81,3.7,220,23.2,1
230,1007.3,31.8,28.1,24.5,25.4,85,88,0.6,230,11.7,1
231,1011.4,30.2,27.8,26.5,23.1,76,54,10,50,13.3,0
232,1010.6,30.8,28.1,26.1,25.8,84,58,9.9,100,29,0
233,1009.2,29.2,26.8,25.5,23.1,75,62,6.9,10,12.1,1
234,1010.9,28.6,26.1,25.4,23.4,89,87,0.3,40,11.7,1
235,1012.2,28.1,25.8,24.5,23.2,86,83,3.6,80,23.7,1
236,1011.4,31.4,28.1,26.8,23.7,75,56,10,70,32.5,0
237,1009.8,32,27.6,25.3,22.3,75,80,8,220,8.3,0
238,1013,30.4,28.7,26.4,25.3,83,79,2,220,29.8,1
239,1009.1,31.8,28,26.8,25,89,80,2,120,14.5,1
240,1013.6,28.1,26,25.1,22.2,79,51,2,80,17.5,0
241,1014.8,32.8,28.1,26.7,23.5,78,44,8.4,130,34.2,0
242,1014.4,31.3,28.1,26,23.3,82,88,0.2,230,22.9,1
243,1013.7,28.7,27.8,25.3,23.3,79,60,9.1,60,17.2,0
244,1013.3,29.3,27.9,25,25.8,83,84,3.1,110,9.6,0
245,1007.9,30.8,28.6,26.3,25.3,87,87,4.1,230,25.9,0
246,1008.1,31.1,28.1,26.2,24.5,79,62,7.7,60,12.5,0
247,1007.1,31.6,29.4,26,25.8,84,82,7.6,160,16.5,1
248,1005.8,30.3,27.5,25.9,22.1,77,86,1.2,220,11.7,0
249,1005.7,31.7,28.4,26.9,25.6,82,86,1.8,190,21.6,1
250,1007.6,30.6,27.4,26.4,25.3,78,47,10,220,9.2,0
251,1015,29.8,27.9,26.5,23.2,76,78,6.2,10,11,1
252,1014.8,31.2,28.4,26.8,26.1,86,77,3.8,30,12.6,1
253,1013,31.1,28.9,25.8,20.6,75,54,10,60,14.5,0
254,1007.7,32,29.1,26.7,25,75,78,2.3,10,17.2,1
255,1008.2,32.3,29.6,27.9,24.2,78,69,6.8,20,11.8,1
256,1010.2,29.2,27,25.7,25.4,79,67,4.5,80,44.7,1
257,1013,31.2,28.7,26.3,26.3,91,88,1.8,70,26.7,1
258,1015.1,30.3,27.7,24.7,25.6,81,69,2.6,90,25.1,1
259,1015,28.6,26.6,24.8,23.6,83,84,3.6,20,37.5,1
260,1013.5,28.9,26.5,24.8,20.6,76,54,4.5,80,16.7,1
261,1013.2,27.8,26.6,25.8,25.2,90,84,1.2,120,27.3,1
262,1004.9,28.4,26.2,24.7,24.4,84,83,3.6,20,29.8,1
263,1010.5,27.8,25.8,24.3,21.2,73,47,6.8,70,21.9,1
264,1017,28.9,25.5,24.5,23.4,82,66,2,70,34.2,0
265,1017.8,29.7,27.9,25.6,25.4,77,61,8.4,190,13.2,0
266,1016.4,28.7,25.6,20.5,24.7,84,88,3.1,80,37.9,1
267,1017.9,28,26.5,24.9,23.4,82,77,8.5,200,23.9,0
268,1008.3,22.5,20.8,19.6,18.6,73,21,10,60,38.3,0
269,1017.1,27.2,25.5,24.4,21.4,82,65,8.6,80,35.1,1
270,1010.3,27.8,25.4,23.7,23.5,89,89,0.1,60,50.6,1
271,1018.1,28.1,27.1,25.4,25.1,90,81,1.6,180,52.8,1
272,1017.7,28.8,26.4,24.5,16.9,79,43,9.3,80,24.4,0
273,1018.9,26.1,23.7,21,22,90,81,3,60,13.8,1
274,1014.8,24.5,23.1,22.7,22.9,90,94,0,30,50.7,1
275,1016.5,25.3,21.3,20.8,19.6,78,61,3.3,70,22,0
276,1016.4,28.4,26.1,25.1,23,85,84,6,80,15.2,1
277,1018,22.3,21.3,20.4,20.9,89,88,0,20,21.4,1
278,1016,27.4,24.9,22.2,20.3,81,78,5.8,90,35.3,0
279,1016.8,28.1,25,23.7,20.3,70,78,5.3,60,16.4,0
280,1017.1,29.2,25.7,23.4,19.4,78,65,8.8,60,27.3,0
281,1014.1,28.2,25.3,23.2,22.1,76,46,8.8,40,10.9,1
282,1017.7,28.2,25.6,23.4,21.6,82,70,7.6,80,10,1
283,1016.8,26.2,24.3,21,22.2,83,81,0.7,30,11,1
284,1019.5,27.9,25.8,24.7,23.1,83,88,0.9,80,10.2,1
285,1019.8,26.8,23.1,21.2,20.1,78,79,8.2,80,25.1,1
286,1020.6,26.3,24.3,22.5,19.3,70,47,7.1,20,28.3,1
287,1017.3,26.4,24.5,23.9,22.3,79,79,3.1,60,22.9,1
288,1019.5,25.3,23.7,22.3,18.8,79,83,3.5,70,15.3,1
289,1015.2,26.3,24.5,23.7,19.9,73,49,7.1,70,16,0
290,1014.9,26.3,23.3,20.1,17.4,75,83,3,40,22,1
291,1017.1,27.9,25.3,24.1,22.9,84,78,1,40,14.6,1
292,1017.1,26,24.9,22.3,22.2,81,84,2.4,70,12,1
293,1012.2,28.9,24,21.6,23.5,81,78,6.5,50,36,1
294,1012.5,26.3,25.7,24.4,22.8,76,66,3.2,80,24.9,1
295,1015.2,27.1,25,23.7,20.7,78,58,9.4,50,15.5,0
296,1017.1,25.1,24.7,23.1,21.4,85,81,0,80,25.9,1
297,1019.4,27.8,23.3,21.6,16.7,92,88,0.1,60,11,1
298,1014.7,28.4,25.5,24,23.4,89,84,3.1,60,19.8,1
299,1015.1,26.2,25.4,24.4,23.6,91,88,0.1,40,39.5,1
300,1016.1,29.7,26.3,24.1,23.1,86,70,5,70,16,1
301,1014.7,29.8,25.1,22.1,23.7,82,79,6.9,80,14.6,1
302,1015.2,27.8,25.5,24.4,23.6,86,88,1.2,50,8.7,1
303,1016.1,26.8,24.6,23.1,19.9,91,83,4.5,50,9.9,0
304,1017.1,29.9,25.6,24.4,19.3,93,88,0.4,40,9.1,1
305,1016.7,25.9,24.8,23.1,21.4,81,84,1.1,80,14.5,1
306,1015.3,28.9,26.6,23.5,23.5,85,88,2,80,9.8,1
307,1014.4,27.9,25.4,23.4,21.6,86,88,0.6,70,14.7,1
308,1015.1,26.2,25.5,23.6,20.5,91,81,0.8,40,16.4,1
309,1016.7,29.1,25.4,23.7,19.3,75,46,9.1,60,7.9,0
310,1017.5,25.3,21.6,19.7,19.6,82,84,0.1,70,43.8,0
311,1016.7,23.3,20.9,18.2,17.4,90,84,2.4,50,20.5,1
312,1014.5,22.4,19.3,17.6,13.5,67,72,6.1,70,35.3,0
313,1015.1,21.3,18.9,17.2,15.8,86,80,1.2,70,12.8,1
314,1020.8,21.4,19.9,17.2,12.9,73,82,2.4,20,39.5,1
315,1015.2,21.3,19.3,18.9,18.9,93,85,0.7,40,14.5,1
316,1017.9,20.5,20.4,19.9,18.1,88,83,3.1,70,22.9,1
317,1018.6,26.7,24.8,22.1,21.4,92,90,0.2,40,19.2,1
318,1018.7,23.2,22.5,20,20.4,93,93,0.5,70,38.3,1
319,1019.7,22.1,20.6,19.3,19.1,90,87,0,50,29.8,1
320,1018.9,19.2,20.9,19.2,19.4,78,38,5.7,80,36,1
321,1017.5,25.2,21.6,16.9,18.6,75,44,6.7,60,28.9,1
322,1017.7,19,17.7,16.9,15.5,77,82,0.5,70,35.8,1
323,1019.9,25.8,21.8,20.2,18.4,86,89,3.4,50,22,1
324,1018.7,20.9,17,16.5,14,90,59,4.9,10,14.2,0
325,1015.6,21.2,19.6,18.7,17,93,88,0,60,23.5,1
326,1019.9,24.7,20.8,19.2,17.3,77,53,5,20,11.8,0
327,1016,21.1,20.1,19.7,18.3,86,93,0.2,50,11.8,1
328,1017.1,24.5,18.4,17.2,16,65,60,6.8,60,35.3,0
329,1022.5,19.3,17.3,16.4,12.8,77,94,0,10,24.4,1
330,1022.9,20.1,18.4,16.5,12.3,73,17,3.1,40,41.3,0
331,1017.9,18.9,16.4,15.1,15.5,78,89,0.2,40,22.8,1
332,1024.4,18.8,14.8,12.4,8.5,75,43,9.1,20,39.5,0
333,1024.7,17.5,13.7,11.3,6.6,77,88,0,20,22.6,1
334,1021.4,17.3,13.3,12.9,11.1,87,80,0.2,30,27.3,1
335,1018,24.3,21.1,19.8,19.6,79,69,3.3,70,30,0
336,1021.1,21.2,18.8,16.4,16.6,67,75,5.1,50,35.8,0
337,1020.8,21.4,18.9,17.2,14.9,75,69,7.7,40,18,0
338,1023.8,17.6,15.2,14.8,11.4,76,49,3.9,70,35.1,0
339,1017.9,20.9,20.6,18.9,19.6,80,88,4.1,20,21.9,1
340,1021.2,21,19.2,17.4,16.5,82,88,0.2,50,20.9,1
341,1019.3,21.3,20.3,19.4,16,89,75,3.1,30,25.1,1
342,1020.7,18.1,17.2,16.9,7.9,75,55,6.8,30,33.4,0
343,1022.6,20.1,17.6,15.3,14.6,79,86,0.7,60,28.7,0
344,1020.2,17.2,14.6,12.8,8.1,79,87,1.8,60,32.9,0
345,1019.5,22.3,19.9,17.2,16.8,87,80,0,20,27.3,1
346,1022,16.2,15.2,13.5,9.8,88,88,0.1,20,28.4,1
347,1022.8,17.6,15.9,14.4,11.1,77,85,0,30,20,0
348,1018,17.5,16.3,15.3,14.6,92,85,1.3,40,11.8,0
349,1017.9,16.5,16.1,15.1,15.1,83,81,0,60,28.8,1
350,1022.4,21.3,18.9,16.6,12.9,79,70,7.9,50,19.2,1
351,1023.6,18.2,17.9,16.1,12.4,85,89,0.1,40,16,0
352,1019,21.8,18.3,15.8,13.2,89,88,0.2,40,22.5,0
353,1017.4,21.3,20.9,19.1,19.9,76,88,0.3,20,30.2,0
354,1017.7,20.9,19.3,18.9,18.1,83,81,0.3,70,25.1,1
355,1016.7,21.3,18.3,17.1,16.4,79,70,1.5,40,13.9,0
356,1020.6,18.7,17.3,16.5,15,75,81,1.5,60,25.9,0
357,1017.9,22.3,18.8,16.6,17.7,84,84,5.2,20,15.1,1
358,1020.3,18.9,16.1,15.3,14.7,75,91,0,70,27.4,1
359,1023.8,21.4,18.2,17.2,15.5,76,48,7.7,30,14.2,1
360,1016.8,21.1,18.8,17.2,18,97,95,0,40,16,1
361,1014.3,18.3,17.3,16.3,15.9,93,91,0.2,50,26.9,1
362,1012.5,21,19.9,18.4,18,95,95,0,60,36,1
363,1012.4,21.3,20.9,19.4,19.6,92,88,0,50,32.9,1
364,1022.2,17.6,16.5,15.7,13.8,76,97,0,60,29.8,1
365,1013,21,19.3,17.9,17.3,94,88,0.1,60,42,1
1,1012.2,17.1,16.1,14.6,14.7,93,96,0.2,30,20,1
2,1013.4,21.3,20.3,19.7,16.9,96,93,0,50,37,1
3,1012,20.8,17.6,15.7,4.8,75,88,3.8,40,29.6,1
4,1022.9,16.2,13.3,11.6,12.1,84,80,0.4,20,59.5,1
5,1022.4,12.1,13.8,11.2,2.7,75,68,6,70,27.6,0
6,1015.2,14.3,12.9,11.4,11.1,92,100,0,50,15.3,1
7,1015.2,17.2,13.7,10,12.2,92,94,0,50,27.4,1
